Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
101451,2 BHK Ready to Occupy Flat for sale Jodhpur Gardens,"2 BHK, Multistorey Apartment is available for Sale in Jodhpur Gardens, Kolkata for 25.0 Lac(s)",25 Lac ,2917.0,kolkata,600.0,Ready to Move,2.0,Resale,Semi-Furnished,,,,2.0,1,,,,,
29832,2 BHK Ready to Occupy Flat for sale HAL 2nd Stage Indiranagar,"Carefully laid out in the prime location of HAL Stage 2 in Bangalore, this spacious 2 BHK flat on sale is a meticulously planned project. This flat for sale is just the type of property you have been searching for! This ready to move flat in HAL Stage 2 can be taken at a very economical pricing of INR 1.30 Cr. The handing over of this property has been made available on Jul '23. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",1.30 Cr ,11818.0,bangalore,900.0,Ready to Move,2.0,New Property,Unfurnished,East,,,2.0,1,1 Covered,Freehold,,,
175088,2 BHK Ready to Occupy Flat for sale in Avinash Aashiyana Kabir Nagar,"Kabir Nagar, Raipur has an attractive 2 BHK Flat for sale. This flat is placed in a marvellous location within the Avinash Aashiyana complex. Invest your valuable money in this flat that is for resale. This ready to move property in Kabir Nagar is readily available within an affordable cost of INR 24 Lac. This contemporary apartment is unfurnished.",24 Lac ,3256.0,raipur,737.0,Ready to Move,2.0,Resale,Unfurnished,,Garden/Park,Avinash Aashiyana,2.0,1,,Freehold,,,
172003,> 10 BHK Ready to Occupy Flat for sale Kesare,"One can find this stunning > 10 BHK flat for sale in Kesare, Mysore. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This apartment ready to move in the Kesare is available for an attractive price of INR 1.50 Cr. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. behind rs naiduo nagar. are a few nearby landmarks.",1.50 Cr ,3571.0,mysore,1520.0,Ready to Move,3.0,New Property,Unfurnished,North,,,,4,,Freehold,,,
174019,2 BHK Ready to Occupy Flat for sale Phase 1 Ashiana Nagar,2 BHK flat available for sale in Patna in the prime location of Phase 1 Ashiana Nagar. This is a desirable apartment for resale. This ready to move flat in Phase 1 Ashiana Nagar can be taken at a very economical pricing of INR 62 Lac. This contemporary apartment is semi-furnished.,62 Lac ,6200.0,patna,900.0,Ready to Move,5.0,Resale,Semi-Furnished,,,,2.0,2,,,,,
71564,2 BHK Ready to Occupy Flat for sale Nagole,"This exquisite 2 BHK Flat is offered for sale in Nagole, Hyderabad. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Nagole comes at an affordable price of INR 49 Lac. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. The flat is easily approachable because it is near to shubham convention hall.",49 Lac ,4495.0,hyderabad,990.0,Ready to Move,2.0,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",,2.0,2,"1 Covered,",Freehold,,,
67969,"2 BHK Ready to Occupy Flat for sale in Laxmi Apartments Sector 99A, Delhi Gurgaon Expressway",2 BHK flat available for sale in Gurgaon in the prime location of Sector 99A. This flat is situated in the Laxmi Apartments township and is equipped with premium facilities. This is one of the best properties available for sale. This ready to move flat in Sector 99A can be taken at a very economical pricing of INR 30 Lac. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level.,30 Lac ,5425.0,gurgaon,600.0,Ready to Move,12.0,New Property,Unfurnished,East,Garden/Park,Laxmi Apartments,1.0,2,,Co-operative Society,,,
117358,3 BHK Ready to Occupy Flat for sale Lajpat Nagar 3,"One can find this stunning 3 BHK flat for sale in Lajpat Nagar 3, New Delhi. This flat is an attractive property for sale. This ready to move flat located in Lajpat Nagar 3 is available for purchase at a fair price of INR 5.50 Cr. The flat is semi-furnished and is suitable for any family size. near moolchand hospital and lajpat nagar metro station are some major landmarks near the apartment.",5.50 Cr ,30556.0,new-delhi,1050.0,Ready to Move,3.0,New Property,Semi-Furnished,North - West,Main Road,,3.0,4,"2 Covered,",Freehold,,,
96729,2 BHK Ready to Occupy Flat for sale in Arbi 5th Avenue Madhyamgram,"New fully furnished flat of 3yrs with separate covered garrage of 160 sq feet. Jessore road 3min, Madhyamgram Chowmatha 7min, Madhyamgram Station 5min, Star mall 4min. Owner property, NO BROKERAGE. 2BEDROOMS, 2TOILETS, 1BALCONY. Modular kitchen with Chimney, 2 wardrobes, False Ceiling across all the rooms, TV unit, Wine Rack, Curtains, Pureit Ultima water Purifier, 1 king size hydrolic storage Bed, Air conditionerAC pre installed. Prime location. Negotiable. Urgent Sale",31 Lac ,3827.0,kolkata,680.0,Ready to Move,3.0,Resale,Furnished,South -West,Main Road,Arbi 5th Avenue,2.0,1,,Freehold,,,
122297,3 BHK Ready to Occupy Flat for sale in DDA Sanskriti Apartments DS 19,"One can find this stunning 3 BHK flat for sale in Dwarka Sector 19, New Delhi. It is in a prime location within the Dda Sanskriti Apartments. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This apartment in one of the significant areas of Dwarka Sector 19 is ready to move, and can be purchased at the best price of INR 1.56 Cr. The flat is semi-furnished and is suitable for any family size. The flat is easily approachable because it is near to opg world school.",1.56 Cr ,9750.0,new-delhi,1350.0,Ready to Move,3.0,Resale,Semi-Furnished,East,"Garden/Park, Main Road",DDA Sanskriti Apartments,2.0,3,"1 Covered,",Freehold,,,
125540,3 BHK Ready to Occupy Flat for sale in Sarve Satyam Apartment Dwarka Sector 4,"Up for immediate sale is a 3 BHK apartment in Dwarka Sector 4, New Delhi. Don't miss this bargain flat for sale. It is housed in the well-planned Sarve Satyam Apartment township in an advantageous location. This is one of the best properties available for resale. You can buy this ready to move flat in Dwarka Sector 4 at a reasonable price of INR 1.92 Cr. This immaculate flat boasts of coming in semi-furnished form which takes the entire deal to the next level. Prominent landmarks in and around this locality are modern convent school.",1.92 Cr ,10667.0,new-delhi,1600.0,Ready to Move,7.0,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Sarve Satyam Apartment,3.0,4,"1 Covered,",Freehold,,,
14591,2 BHK Ready to Occupy Flat for sale Paldi,This ready to move-in 2 BHK flat is available for sale at the premium Paldi in Ahmedabad. This flat for resale has a desirable location. This ready to move flat is offered at an economical price of INR 50 Lac. The flat is available in semi-furnished condition. The flat is easily approachable because it is near to vikasgruh road.,50 Lac ,5000.0,ahmedabad,900.0,Ready to Move,2.0,Resale,Semi-Furnished,East,Main Road,,2.0,1,1 Covered,Freehold,,,
11561,2 BHK Ready to Occupy Flat for sale Paldi,This ready to move-in 2 BHK flat is available for sale at the premium Paldi in Ahmedabad. This flat for resale has a desirable location. This ready to move flat is offered at an economical price of INR 50 Lac. The flat is available in semi-furnished condition. The flat is easily approachable because it is near to vikasgruh road.,50 Lac ,5000.0,ahmedabad,900.0,Ready to Move,2.0,Resale,Semi-Furnished,East,Main Road,,2.0,1,1 Covered,Freehold,,,
43932,2 BHK Ready to Occupy Flat for sale in Optima Ace Ambattur,"This exquisite 2 BHK Flat is offered for sale in Ambattur, Chennai. This flat is situated within the renown township of Optima Ace. This flat for resale is the perfect property for you! This ready to move flat located in Ambattur is available for purchase at a fair price of INR 42 Lac. This contemporary apartment is semi-furnished. The property is constructed with proximity to major landmarks like rudrappa swami school.",42 Lac ,4795.0,chennai,780.0,Ready to Move,2.0,Resale,Semi-Furnished,South,Main Road,,2.0,2,,Freehold,,,
171715,3 BHK Ready to Occupy Flat for sale in TDI CITY Sector 110,"This gorgeous 3 BHK Flat is available for sale in Sector 110, Mohali. Situated in the Tdi City township, it has a prime location. Your search ends here, because this flat for resale is among the best bargains in town. The ready to move flat in the prime area of Sector 110 is available at a reasonable price of INR 55 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Some of the landmarks in the vicinity include cgc collegejudicial courts complexnear reliance pump..",55 Lac ,4029.0,mohali,1480.0,Ready to Move,2.0,Resale,Semi-Furnished,East,"Garden/Park, Main Road",TDI CITY,3.0,3,1 Open,Freehold,,,
157005,3 BHK Ready to Occupy Flat for sale in Ozone Park Apartments Sector 86,"Carefully laid out in the prime location of Sector 86 in Faridabad, this spacious 3 BHK flat on sale is a meticulously planned project. It is housed in the well-planned Ozone Park Apartments township in an advantageous location. This flat for resale is just the type of property you have been searching for! You can buy this ready to move flat in Sector 86 at a reasonable price of INR 65 Lac. It is furnished to accommodate your needs. The flat is easily approachable because it is near to next to sai mandir market.",65 Lac ,3949.0,faridabad,1350.0,Ready to Move,15.0,Resale,Furnished,East,"Pool, Garden/Park",Ozone Park Apartments,3.0,3,1 Covered,Freehold,,,
152285,2 BHK Ready to Occupy Flat for sale in RR Sowbagyam Venkata Puram,"Venkata Puram, Coimbatore has an appealing 2 BHK flat for sale with various amenities. Situated in the excellent Rr Sowbagyam township. The flat enjoys a prime location. This flat all equipped with required facilities, is up for resale. This ready to move flat in Venkata Puram comes at an affordable price of INR 55 Lac. The flat is sold in semi-furnished condition.",55 Lac ,4583.0,coimbatore,1080.0,Ready to Move,1.0,Resale,Semi-Furnished,South,Main Road,RR Sowbagyam,2.0,1,1 Covered,,,,
84676,3 BHK Ready to Occupy Flat for sale in Mahima Bellevista Jagatpura,"This magnificent 3 BHK Flat is available for sale in Jagatpura, Jaipur. Situated in the excellent Mahima Bellevista township. The flat enjoys a prime location. This flat for resale is the perfect property for you! Available at a reasonable selling price of INR 55 Lac, this ready to move apartment in Jagatpura is a great buy. The apartment is semi-furnished. Landmarks near the apartment include opposite jnu campus 2, near rto office, jagatpura.",55 Lac ,4026.0,jaipur,800.0,Ready to Move,9.0,Resale,Semi-Furnished,,,Mahima Bellevista,2.0,1,,Freehold,,,
157249,3 BHK Ready to Occupy Flat for sale in Puri Aanand Villas II Sector 81,"Discover this immaculate 3 BHK flat for sale at the pristine Sector 81 in Faridabad. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Puri Aanand Villas Ii. This flat for resale is just the type of property you have been searching for! In Sector 81, this ready to move flat is available at an attractive price of INR 1.40 Cr. The flat is semi-furnished and makes for an ideal choice for any family. near dps sec 81 faridabad are some of the well-known landmarks in this locality.",1.40 Cr ,7388.0,faridabad,1750.0,Ready to Move,3.0,Resale,Semi-Furnished,West,Main Road,Puri Aanand Villas II,3.0,3,1 Covered,Freehold,,,
53679,4 BHK Ready to Occupy Flat for sale in La Lagune Gurgaon Golf Course Road,"Carefully laid out in the prime location of Golf Course Road in Gurgaon, this spacious 4 BHK flat on sale is a meticulously planned project. It is based at La Lagune Gurgaon complex, that occupies a prominent place in the locality. This flat for resale is the perfect property for you! Located in Golf Course Road, this ready to move apartment is sold at a fair selling price of INR 7 Cr. The flat is unfurnished and makes for an ideal choice for any family. sec-54 chowk metro station are some major landmarks near the apartment.",7 Cr ,22152.0,gurgaon,2700.0,Ready to Move,15.0,Resale,Unfurnished,East,"Garden/Park, Pool",La Lagune Gurgaon,5.0,2,2 Covered,Freehold,,,
143115,3 BHK Ready to Occupy Flat for sale in The Hyde Park Sector 78,"This magnificent 3 BHK Flat is available for sale in Sector 78, Noida. It is in a prime location within the The Hyde Park. This is one of the best properties available for resale. This ready to move flat located in Sector 78 is available for purchase at a fair price of INR 1.45 Cr. This premium semi-furnished flat spells quality and comfort at a competitive price. metro station are a few nearby landmarks.",1.45 Cr ,7902.0,noida,1475.0,Ready to Move,18.0,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",,4.0,4,,Leasehold,,,
89000,2 BHK Ready to Occupy Flat for sale in Satyam Homes ,"One can find this stunning 2 BHK flat for sale in project name satayam, Jaipur. It enjoys an excellent location within the Satyam Homes. This flat all equipped with required facilities, is up for resale. This apartment in one of the significant areas of project name satayam is ready to move, and can be purchased at the best price of INR 31 Lac. The flat is available in semi-furnished condition.",31 Lac ,3444.0,jaipur,700.0,Ready to Move,3.0,Resale,Semi-Furnished,,,Satyam Homes,2.0,1,,,,,
69588,4 BHK Ready to Occupy Flat for sale in Emaar Emerald Hills Sector 65,"Up for immediate sale is a 4 BHK apartment in Sector 65, Gurgaon. Don't miss this bargain flat for sale. Ideally situated in the Emaar Emerald Hills township it enjoys a prime location. This is a desirable apartment for resale. This ready to move flat located in Sector 65 is available for purchase at a fair price of INR 2.90 Cr. The flat is sold in semi-furnished condition. The flat is in close proximity to prominent landmarks like this is a very nice landmark in emaar emerald hills sector 65..",2.90 Cr ,16111.0,gurgaon,1500.0,Ready to Move,2.0,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",Emaar Emerald Hills,4.0,4,2 Open,Leasehold,,,
167969,3 BHK Ready to Occupy Flat for sale OPPOSITE TO PARINAI GUEST HOUS Kanpur,"Carefully laid out in the prime location of OPPOSITE TO PARINAI GUEST HOUS in Kanpur, this spacious 3 BHK flat on sale is a meticulously planned project. This flat for resale is just the type of property you have been searching for! You can buy this ready to move flat in OPPOSITE TO PARINAI GUEST HOUS at a reasonable price of INR 60 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities.",60 Lac ,4286.0,kanpur,1200.0,Ready to Move,4.0,Resale,Semi-Furnished,North,,,2.0,2,1 Covered,Freehold,,,
136463,2 BHK Ready to Occupy Flat for sale in DDA Flat Janakpuri,Discover this immaculate 2 BHK flat for sale at the pristine Janakpuri in New Delhi. It enjoys an excellent location within the Dda Flat. This flat for resale is the perfect property for you! This ready to move flat located in Janakpuri is available for purchase at a fair price of INR 1.60 Cr. The flat is sold in unfurnished condition.,1.60 Cr ,13333.0,new-delhi,1000.0,Ready to Move,1.0,Resale,Unfurnished,North - West,"Garden/Park, Main Road",DDA Flat,2.0,2,,Freehold,,,
39710,3 BHK Ready to Occupy Flat for sale Raja Annamalai Puram,"This exquisite 3 BHK Flat is offered for sale in Raja Annamalai Puram, Chennai. This flat is an attractive property for resale. The ready to move flat in the prime area of Raja Annamalai Puram is available at a reasonable price of INR 2.10 Cr. The apartment is semi-furnished.",2.10 Cr ,12353.0,chennai,1600.0,Ready to Move,2.0,Resale,Semi-Furnished,North,Main Road,,3.0,3,,,,,
63070,4 BHK Ready to Occupy Flat for sale in Emaar Emerald Floors Select Sector 65,"Have a look at this immaculate 4 BHK flat for sale in Sector 65, Gurgaon. Enjoying a prime location, this property is housed in the Emaar Emerald Floors Select society. This flat for resale is just the type of property you have been searching for! This ready to move flat in Sector 65 comes at an affordable price of INR 2.85 Cr. You will find it semi-furnished. near golf estate are a few nearby landmarks.",2.85 Cr ,14250.0,gurgaon,1700.0,Ready to Move,2.0,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Emaar Emerald Floors Select,4.0,4,1 Open,Freehold,,,
134848,2 BHK Ready to Occupy Flat for sale Pahar Ganj,"This gorgeous 2 BHK Flat is available for sale in Pahar Ganj, New Delhi. This flat for resale has a desirable location. This ready to move property in Pahar Ganj is readily available within an affordable cost of INR 51 Lac. The flat is sold in unfurnished condition.",51 Lac ,6667.0,new-delhi,675.0,Ready to Move,4.0,Resale,Unfurnished,East,,,2.0,,10 Open,Freehold,,,
158996,2 BHK Ready to Occupy Flat for sale Bhopura,2 BHK flat available for sale in Ghaziabad in the prime location of Bhopura. This flat for sale has a desirable location. This apartment ready to move in the Bhopura is available for an attractive price of INR 21.5 Lac. It is a furnished apartment. The flat is in close proximity to prominent landmarks like this properties is closed to dilshad garden metro and reputed school..,21.5 Lac ,2529.0,ghaziabad,775.0,Ready to Move,1.0,New Property,Furnished,West,Main Road,,2.0,2,1 Covered,Freehold,,,
178437,3 BHK Ready to Occupy Flat for sale in King Stone Pal,"This ready to move-in 3 BHK flat is available for sale at the premium Pal in Surat. Well-tucked in the King Stone township, the property is easily accessible. This apartment for resale is a great choice. Located in Pal, this ready to move apartment is sold at a fair selling price of INR 1.35 Cr. This furnished flat is strategically designed with all the amenities to enhance the living experience.",1.35 Cr ,5212.0,surat,1554.0,Ready to Move,1.0,Resale,Furnished,East,"Main Road, Garden/Park, Pool",King Stone,3.0,1,,Freehold,,,
122355,2 BHK Ready to Occupy Flat for sale Laxmi Nagar,"This lovely 2 BHK Flat in Laxmi Nagar, New Delhi is up for sale. This flat all equipped with required facilities, is up for resale. This ready to move flat located in Laxmi Nagar is available for purchase at a fair price of INR 30 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Prominent landmarks in and around this locality are delhi convert school.",30 Lac ,6000.0,new-delhi,400.0,Ready to Move,2.0,Resale,Semi-Furnished,East,"Garden/Park, Main Road",,1.0,1,1 Open,Freehold,,,
145899,3 BHK Ready to Occupy Flat for sale Bhoslenagar Ashok Nagar,"Carefully laid out in the prime location of Bhosale Nagar in Pune, this spacious 3 BHK flat on sale is a meticulously planned project. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move property in Bhosale Nagar is readily available within an affordable cost of INR 2.50 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. The prime landmarks near this property are near kasturkunj.",2.50 Cr ,15924.0,pune,1150.0,Ready to Move,1.0,New Property,Unfurnished,North,,,3.0,3,1 Covered,Freehold,,,
164631,3 BHK Ready to Occupy Flat for sale in Purvanchal Royal City Chi 5,"Have a look at this immaculate 3 BHK flat for sale in Chi 5, Greater Noida. The property is ideally located in a strategic location in Purvanchal Royal City township. This flat for resale is a choice property. This ready to move flat is offered at an economical price of INR 1.10 Cr. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities.",1.10 Cr ,6340.0,greater-noida,1500.0,Ready to Move,3.0,Resale,Unfurnished,North - West,"Garden/Park, Pool, Main Road",Purvanchal Royal City,3.0,3,,Leasehold,,,
23419,"2 BHK Ready to Occupy Flat for sale A Narayanapura, Mahadevapura","This gorgeous 2 BHK Flat is available for sale in A Narayanapura, Bangalore. This flat for resale is a choice property. This ready to move flat located in A Narayanapura is available for purchase at a fair price of INR 65 Lac. The flat is available in semi-furnished condition.",65 Lac ,4062.0,bangalore,1050.0,Ready to Move,4.0,Resale,Semi-Furnished,East,,,2.0,2,,,,,
117229,2 BHK Ready to Occupy Flat for sale in Suryodaya Apartment DDA Flats Pocket 8 Dwarka,"This ready to move-in 2 BHK flat is available for sale at the premium Dwarka in New Delhi. It enjoys an excellent location within the Suryodaya Apartment Dda Flats Pocket 8. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move property in Dwarka is readily available within an affordable cost of INR 1.10 Cr. The apartment is semi-furnished. The flat is in close proximity to prominent landmarks like close to the metro station and near by schools..",1.10 Cr ,9167.0,new-delhi,900.0,Ready to Move,1.0,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Suryodaya Apartment DDA Flats Pocket 8,2.0,2,2 Open,Freehold,,,
175499,2 BHK Ready to Occupy Flat for sale Bariatu Road,"This gorgeous 2 BHK Flat is available for sale in Bariatu Road, Ranchi. This flat for resale is the perfect property for you! This ready to move flat in Bariatu Road comes at an affordable price of INR 48 Lac. The flat is uniquely designed to enhance the living style. It is semi-furnished, studded with all the basic facilities. The property is constructed with proximity to major landmarks like surya kiran aptt.",48 Lac ,4800.0,ranchi,968.0,Ready to Move,1.0,Resale,Semi-Furnished,South -West,,,2.0,3,,Freehold,,,
46792,3 BHK Ready to Occupy Flat for sale in Iris Court Grand Southern Trunk Road,"3 BHK flat available for sale in Chennai in the prime location of Grand Southern Trunk Road. Well-tucked in the Iris Court township, the property is easily accessible. Invest your valuable money in this flat that is for resale. You can buy this ready to move flat in Grand Southern Trunk Road at a reasonable price of INR 60 Lac. The flat is semi-furnished and makes for an ideal choice for any family.",60 Lac ,4283.0,chennai,1060.0,Ready to Move,1.0,Resale,Semi-Furnished,,,,3.0,2,,,,,
